# Gene Family	SampleBacterial_Chemotaxis_Abundance-CPM
UniRef50_A6LXH7: D-galactose-binding periplasmic protein	87.2615
UniRef50_A6LXH7: D-galactose-binding periplasmic protein|unclassified	87.2615
UniRef50_UPI000364F305: hypothetical protein	87.0781
UniRef50_UPI000364F305: hypothetical protein|unclassified	87.0781
UniRef50_K1NS26	87.0347
UniRef50_K1NS26|unclassified	87.0347
UniRef50_D2TE32: Methyl-accepting chemotaxis serine transducer	86.8942
UniRef50_D2TE32: Methyl-accepting chemotaxis serine transducer|unclassified	86.8942
UniRef50_UPI000375D628: hypothetical protein	86.8151
UniRef50_UPI000375D628: hypothetical protein|unclassified	86.8151
UniRef50_UPI000466D982: hypothetical protein	86.7881
UniRef50_UPI000466D982: hypothetical protein|unclassified	86.7881
UniRef50_A0A022GW88: Chemotaxis protein (Fragment)	86.7473
UniRef50_A0A022GW88: Chemotaxis protein (Fragment)|unclassified	86.7473
UniRef50_M1MVA2: D-galactose-binding periplasmic protein MglB	86.6661
UniRef50_M1MVA2: D-galactose-binding periplasmic protein MglB|unclassified	86.6661
UniRef50_B1G388: Periplasmic binding protein/LacI transcriptional regulator	86.5161
UniRef50_B1G388: Periplasmic binding protein/LacI transcriptional regulator|unclassified	86.5161
UniRef50_UPI0003B310A9: chemotaxis protein CheY	86.4295
UniRef50_UPI0003B310A9: chemotaxis protein CheY|unclassified	86.4295
UniRef50_UPI00047EAD63: hypothetical protein	86.2693
UniRef50_UPI00047EAD63: hypothetical protein|unclassified	86.2693
UniRef50_UPI0003B6CE3E: chemotaxis protein CheA	86.1889
UniRef50_UPI0003B6CE3E: chemotaxis protein CheA|unclassified	86.1889
UniRef50_UPI00037837AD: hypothetical protein	86.1675
UniRef50_UPI00037837AD: hypothetical protein|unclassified	86.1675
UniRef50_UPI0003600851: hypothetical protein	86.0049
UniRef50_UPI0003600851: hypothetical protein|unclassified	86.0049
UniRef50_E8RH14: CheC domain protein	85.9905
UniRef50_E8RH14: CheC domain protein|unclassified	85.9905
UniRef50_UPI00016C3A39: multi-sensor hybrid histidine kinase	85.6211
UniRef50_UPI00016C3A39: multi-sensor hybrid histidine kinase|unclassified	85.6211
UniRef50_G8LHY7	85.6201
UniRef50_G8LHY7|unclassified	85.6201
UniRef50_D1BD03: Monosaccharide-binding protein	85.2901
UniRef50_D1BD03: Monosaccharide-binding protein|unclassified	85.2901
UniRef50_UPI00026276F2: chemotaxis protein	85.0174
UniRef50_UPI00026276F2: chemotaxis protein|unclassified	85.0174
UniRef50_UPI0003608D8E: hypothetical protein	84.8489
UniRef50_UPI0003608D8E: hypothetical protein|unclassified	84.8489
UniRef50_UPI00036415E8: hypothetical protein, partial	84.737
UniRef50_UPI00036415E8: hypothetical protein, partial|unclassified	84.737
UniRef50_UPI0003634324: hypothetical protein	84.6787
UniRef50_UPI0003634324: hypothetical protein|unclassified	84.6787
UniRef50_K8BA66: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	84.6564
UniRef50_K8BA66: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)|unclassified	84.6564
UniRef50_UPI0003690D06: hypothetical protein	84.6266
UniRef50_UPI0003690D06: hypothetical protein|unclassified	84.6266
UniRef50_UPI0003649806: hypothetical protein	84.5216
UniRef50_UPI0003649806: hypothetical protein|unclassified	84.5216
UniRef50_N1ZN82	84.4851
UniRef50_N1ZN82|unclassified	84.4851
UniRef50_B3E7P9: Probable chemoreceptor glutamine deamidase CheD	84.4806
UniRef50_B3E7P9: Probable chemoreceptor glutamine deamidase CheD|unclassified	84.4806
UniRef50_UPI00046D2A0A: hypothetical protein	84.3554
UniRef50_UPI00046D2A0A: hypothetical protein|unclassified	84.3554
UniRef50_V5ZWF9: ABC transporter, substrate-binding protein	84.1482
UniRef50_V5ZWF9: ABC transporter, substrate-binding protein|unclassified	84.1482
UniRef50_W4T0M1	84.1468
UniRef50_W4T0M1|unclassified	84.1468
UniRef50_N6U5R6	83.4907
UniRef50_N6U5R6|unclassified	83.4907
UniRef50_UPI00034C06E7: hypothetical protein	83.4273
UniRef50_UPI00034C06E7: hypothetical protein|unclassified	83.4273
UniRef50_R1AY75	83.0703
UniRef50_R1AY75|unclassified	83.0703
UniRef50_K7ZZT0: Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)	82.9725
UniRef50_K7ZZT0: Methyl-accepting chemotaxis protein III (ribose and galactose chemoreceptor protein)|unclassified	82.9725
UniRef50_UPI00036E6726: hypothetical protein	82.8624
UniRef50_UPI00036E6726: hypothetical protein|unclassified	82.8624
UniRef50_UPI000467688D: chemotaxis protein CheA, partial	82.5407
UniRef50_UPI000467688D: chemotaxis protein CheA, partial|unclassified	82.5407
UniRef50_F2LTK7: CheC domain protein	82.405
UniRef50_F2LTK7: CheC domain protein|unclassified	82.405
UniRef50_UPI000477854A: chemotaxis protein CheD	82.3473
UniRef50_UPI000477854A: chemotaxis protein CheD|unclassified	82.3473
UniRef50_K2EGT3	82.3329
UniRef50_K2EGT3|unclassified	82.3329
UniRef50_UPI00036F8DE9: hypothetical protein	82.0659
UniRef50_UPI00036F8DE9: hypothetical protein|unclassified	82.0659
UniRef50_UPI0004679F1B: hypothetical protein	81.901
UniRef50_UPI0004679F1B: hypothetical protein|unclassified	81.901
UniRef50_B9THB8	81.8195
UniRef50_B9THB8|unclassified	81.8195
UniRef50_UPI000473674D: hypothetical protein, partial	81.7862
UniRef50_UPI000473674D: hypothetical protein, partial|unclassified	81.7862
UniRef50_UPI00034B2B54: hypothetical protein	81.7365
UniRef50_UPI00034B2B54: hypothetical protein|unclassified	81.7365
UniRef50_UPI00016C54D0: signal transduction histidine kinase with CheB and CheR activity	81.7009
UniRef50_UPI00016C54D0: signal transduction histidine kinase with CheB and CheR activity|unclassified	81.7009
UniRef50_K2DH14	81.6504
UniRef50_K2DH14|unclassified	81.6504
UniRef50_C5BSI5	81.5462
UniRef50_C5BSI5|unclassified	81.5462
UniRef50_R5GWR9	81.4448
UniRef50_R5GWR9|unclassified	81.4448
UniRef50_M1MMR1: D-galactose-binding periplasmic protein MglB	81.2781
UniRef50_M1MMR1: D-galactose-binding periplasmic protein MglB|unclassified	81.2781
UniRef50_W4SUJ9	81.2517
UniRef50_W4SUJ9|unclassified	81.2517
UniRef50_Q8Q009: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	81.2095
UniRef50_Q8Q009: Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon|unclassified	81.2095
UniRef50_UPI0003173EF9: chemotaxis protein	80.9617
UniRef50_UPI0003173EF9: chemotaxis protein|unclassified	80.9617
UniRef50_UPI000378494C: hypothetical protein	80.8383
UniRef50_UPI000378494C: hypothetical protein|unclassified	80.8383
UniRef50_UPI0003670BBF: hypothetical protein	80.6667
UniRef50_UPI0003670BBF: hypothetical protein|unclassified	80.6667
UniRef50_M8JKB9: D-galactose-binding periplasmic protein	80.26
UniRef50_M8JKB9: D-galactose-binding periplasmic protein|unclassified	80.26
UniRef50_K8DLA0: Methyl-accepting chemotaxis protein	80.0221
UniRef50_K8DLA0: Methyl-accepting chemotaxis protein|unclassified	80.0221
UniRef50_UPI0001B42546: flagellar motor switch protein FliM	79.898
UniRef50_UPI0001B42546: flagellar motor switch protein FliM|unclassified	79.898
UniRef50_H3RCI7	79.6795
UniRef50_H3RCI7|unclassified	79.6795
UniRef50_UPI000367EBA5: hypothetical protein, partial	79.6583
UniRef50_UPI000367EBA5: hypothetical protein, partial|unclassified	79.6583
UniRef50_UPI00037A045E: hypothetical protein	79.6471
UniRef50_UPI00037A045E: hypothetical protein|unclassified	79.6471
UniRef50_X5P4J8: Sugar ABC transporter substrate-binding protein	79.4017
UniRef50_X5P4J8: Sugar ABC transporter substrate-binding protein|unclassified	79.4017
UniRef50_UPI0003B59490: chemotaxis protein CheY	79.2084
UniRef50_UPI0003B59490: chemotaxis protein CheY|unclassified	79.2084
UniRef50_J3QI67	79.2061
UniRef50_J3QI67|unclassified	79.2061
UniRef50_D9SUT1: D-galactose-binding periplasmic protein	79.1528
UniRef50_D9SUT1: D-galactose-binding periplasmic protein|unclassified	79.1528
UniRef50_UPI0004632434: hypothetical protein	79.1019
UniRef50_UPI0004632434: hypothetical protein|unclassified	79.1019
UniRef50_UPI0003B3AD0F: methyl-accepting chemotaxis protein	78.5558
UniRef50_UPI0003B3AD0F: methyl-accepting chemotaxis protein|unclassified	78.5558
UniRef50_UPI00046CE820: hypothetical protein	78.4854
UniRef50_UPI00046CE820: hypothetical protein|unclassified	78.4854
UniRef50_D7I171: Methyl-accepting chemotaxis protein	78.4812
UniRef50_D7I171: Methyl-accepting chemotaxis protein|unclassified	78.4812
UniRef50_UPI00036FF191: hypothetical protein	78.362
UniRef50_UPI00036FF191: hypothetical protein|unclassified	78.362
UniRef50_UPI000366550E: hypothetical protein	78.2676
UniRef50_UPI000366550E: hypothetical protein|unclassified	78.2676
UniRef50_UPI00046D707A: hypothetical protein	78.2593
UniRef50_UPI00046D707A: hypothetical protein|unclassified	78.2593
UniRef50_U5MMM3: D-galactose-binding periplasmic protein MglB	78.2409
UniRef50_U5MMM3: D-galactose-binding periplasmic protein MglB|unclassified	78.2409
UniRef50_UPI0003807B31: hypothetical protein, partial	78.0737
UniRef50_UPI0003807B31: hypothetical protein, partial|unclassified	78.0737
UniRef50_D9SR91: Periplasmic binding protein/LacI transcriptional regulator	77.877
UniRef50_D9SR91: Periplasmic binding protein/LacI transcriptional regulator|unclassified	77.877
UniRef50_G7M679: D-galactose-binding protein	77.8393
UniRef50_G7M679: D-galactose-binding protein|unclassified	77.8393
UniRef50_UPI000477CF68: chemotaxis protein, partial	77.787
UniRef50_UPI000477CF68: chemotaxis protein, partial|unclassified	77.787
UniRef50_UPI00047B2ED7: hypothetical protein	77.6149
UniRef50_UPI00047B2ED7: hypothetical protein|unclassified	77.6149
UniRef50_UPI0002E4892C: hypothetical protein	77.1761
UniRef50_UPI0002E4892C: hypothetical protein|unclassified	77.1761
UniRef50_A0A011RY06: Ribose and galactose chemoreceptor protein	76.7683
UniRef50_A0A011RY06: Ribose and galactose chemoreceptor protein|unclassified	76.7683
UniRef50_X1TRB9: Marine sediment metagenome DNA, contig: S12H4_S00615 (Fragment)	76.7584
UniRef50_X1TRB9: Marine sediment metagenome DNA, contig: S12H4_S00615 (Fragment)|unclassified	76.7584
UniRef50_UPI00040B2030: hypothetical protein	76.6398
UniRef50_UPI00040B2030: hypothetical protein|unclassified	76.6398
UniRef50_R7JTI9	76.2912
UniRef50_R7JTI9|unclassified	76.2912
UniRef50_UPI000361E513: hypothetical protein	76.1645
UniRef50_UPI000361E513: hypothetical protein|unclassified	76.1645
UniRef50_UPI000472838C: flagellar motor switch protein FliM	76.0635
UniRef50_UPI000472838C: flagellar motor switch protein FliM|unclassified	76.0635
UniRef50_UPI00036F7643: hypothetical protein	75.9959
UniRef50_UPI00036F7643: hypothetical protein|unclassified	75.9959
UniRef50_UPI00034C4988: hypothetical protein	75.9361
UniRef50_UPI00034C4988: hypothetical protein|unclassified	75.9361
UniRef50_UPI0003B4836D: flagellar motor switch protein FliG	75.9169
UniRef50_UPI0003B4836D: flagellar motor switch protein FliG|unclassified	75.9169
UniRef50_C6NYF4: Signal transduction histidine kinase CheA	75.8804
UniRef50_C6NYF4: Signal transduction histidine kinase CheA|unclassified	75.8804
UniRef50_UPI0003B72160: hypothetical protein	75.8585
UniRef50_UPI0003B72160: hypothetical protein|unclassified	75.8585
UniRef50_UPI0003B5440C: histidine kinase	75.8341
UniRef50_UPI0003B5440C: histidine kinase|unclassified	75.8341
UniRef50_UPI0002B9AC99: hypothetical protein, partial	75.5484
UniRef50_UPI0002B9AC99: hypothetical protein, partial|unclassified	75.5484
UniRef50_K8B3U1: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	75.3796
UniRef50_K8B3U1: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)|unclassified	75.3796
UniRef50_UPI00046841B7: flagellar motor switch protein FliN	75.3747
UniRef50_UPI00046841B7: flagellar motor switch protein FliN|unclassified	75.3747
UniRef50_UPI00034A2487: hypothetical protein	75.0393
UniRef50_UPI00034A2487: hypothetical protein|unclassified	75.0393
UniRef50_F2JZ96: Periplasmic binding protein/LacI transcriptional regulator	74.8062
UniRef50_F2JZ96: Periplasmic binding protein/LacI transcriptional regulator|unclassified	74.8062
UniRef50_R4Y3W6: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	74.7807
UniRef50_R4Y3W6: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	74.7807
UniRef50_D9SU52: D-galactose-binding periplasmic protein	74.5698
UniRef50_D9SU52: D-galactose-binding periplasmic protein|unclassified	74.5698
UniRef50_UPI000372EB03: hypothetical protein	74.4942
UniRef50_UPI000372EB03: hypothetical protein|unclassified	74.4942
UniRef50_UPI00026305E0: CheA signal transduction histidine kinase, partial	74.1019
UniRef50_UPI00026305E0: CheA signal transduction histidine kinase, partial|unclassified	74.1019
UniRef50_UPI00034C95FD: methyl-accepting chemotaxis protein	74.0726
UniRef50_UPI00034C95FD: methyl-accepting chemotaxis protein|unclassified	74.0726
UniRef50_UPI0004707DDF: hypothetical protein, partial	74.0631
UniRef50_UPI0004707DDF: hypothetical protein, partial|unclassified	74.0631
UniRef50_UPI00035E1DE2: hypothetical protein	73.9766
UniRef50_UPI00035E1DE2: hypothetical protein|unclassified	73.9766
UniRef50_UPI0003682806: hypothetical protein	73.9675
UniRef50_UPI0003682806: hypothetical protein|unclassified	73.9675
UniRef50_UPI00037DA789: hypothetical protein	73.8512
UniRef50_UPI00037DA789: hypothetical protein|unclassified	73.8512
UniRef50_UPI00045EB070: chemotaxis protein CheB	73.7142
UniRef50_UPI00045EB070: chemotaxis protein CheB|unclassified	73.7142
UniRef50_U5MRD5: D-galactose-binding periplasmic protein MglB	73.642
UniRef50_U5MRD5: D-galactose-binding periplasmic protein MglB|unclassified	73.642
UniRef50_UPI000476EB30: hypothetical protein	73.5303
UniRef50_UPI000476EB30: hypothetical protein|unclassified	73.5303
UniRef50_B1KCF2: Methyl-accepting chemotaxis sensory transducer	73.4785
UniRef50_B1KCF2: Methyl-accepting chemotaxis sensory transducer|unclassified	73.4785
UniRef50_UPI00030B42DF: hypothetical protein	73.3069
UniRef50_UPI00030B42DF: hypothetical protein|unclassified	73.3069
UniRef50_K1Z8D7	73.274
UniRef50_K1Z8D7|unclassified	73.274
UniRef50_UPI000376C4FC: hypothetical protein	73.2381
UniRef50_UPI000376C4FC: hypothetical protein|unclassified	73.2381
UniRef50_UPI00016C0DBD: flagellar motor switch protein FliM	73.1952
UniRef50_UPI00016C0DBD: flagellar motor switch protein FliM|unclassified	73.1952
UniRef50_UPI00036F5D95: hypothetical protein	73.1303
UniRef50_UPI00036F5D95: hypothetical protein|unclassified	73.1303
UniRef50_D9SUS9: Putative galactoside ABC transporter	72.9647
UniRef50_D9SUS9: Putative galactoside ABC transporter|unclassified	72.9647
UniRef50_UPI00025566B1: chemotaxis protein CheR	72.8949
UniRef50_UPI00025566B1: chemotaxis protein CheR|unclassified	72.8949
UniRef50_UPI0001BF66E7: hypothetical protein SMAC_11394, partial	72.7426
UniRef50_UPI0001BF66E7: hypothetical protein SMAC_11394, partial|unclassified	72.7426
UniRef50_X3JGL4: Flagellar motor switch protein FliG (Fragment)	72.5547
UniRef50_X3JGL4: Flagellar motor switch protein FliG (Fragment)|unclassified	72.5547
UniRef50_UPI0004769586: hypothetical protein	72.3938
UniRef50_UPI0004769586: hypothetical protein|unclassified	72.3938
UniRef50_UPI0003B75BB5: transcriptional regulator	72.3909
UniRef50_UPI0003B75BB5: transcriptional regulator|unclassified	72.3909
UniRef50_Q1JZV3	72.3814
UniRef50_Q1JZV3|unclassified	72.3814
UniRef50_UPI0003B4EF18: peptidylprolyl isomerase	72.3786
UniRef50_UPI0003B4EF18: peptidylprolyl isomerase|unclassified	72.3786
UniRef50_UPI000463AAFA: hypothetical protein	72.3773
UniRef50_UPI000463AAFA: hypothetical protein|unclassified	72.3773
UniRef50_UPI00016C4288: CheA Signal Transduction Histidine Kinases (STHK), partial	72.2362
UniRef50_UPI00016C4288: CheA Signal Transduction Histidine Kinases (STHK), partial|unclassified	72.2362
UniRef50_UPI00047DBE08: hypothetical protein	72.2266
UniRef50_UPI00047DBE08: hypothetical protein|unclassified	72.2266
UniRef50_UPI000287FB6B: chemotaxis protein	72.1977
UniRef50_UPI000287FB6B: chemotaxis protein|unclassified	72.1977
UniRef50_UPI0002E9A0DB: hypothetical protein	72.0237
UniRef50_UPI0002E9A0DB: hypothetical protein|unclassified	72.0237
UniRef50_UPI0003B50CC4: flagellar motor switch protein FliG	72.0024
UniRef50_UPI0003B50CC4: flagellar motor switch protein FliG|unclassified	72.0024
UniRef50_K8DI17: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	71.9619
UniRef50_K8DI17: Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)|unclassified	71.9619
UniRef50_A0A022FUT5: Chemotaxis protein	71.7113
UniRef50_A0A022FUT5: Chemotaxis protein|unclassified	71.7113
UniRef50_G2HD83: Cache domain protein (Fragment)	71.6397
UniRef50_G2HD83: Cache domain protein (Fragment)|unclassified	71.6397
UniRef50_UPI000366CC57: hypothetical protein	71.4998
UniRef50_UPI000366CC57: hypothetical protein|unclassified	71.4998
UniRef50_B9TQM3	71.2561
UniRef50_B9TQM3|unclassified	71.2561
UniRef50_C4Z6F9: Chemotaxis protein CheX	71.1912
UniRef50_C4Z6F9: Chemotaxis protein CheX|unclassified	71.1912
UniRef50_Q6AJU7	70.8791
UniRef50_Q6AJU7|unclassified	70.8791
UniRef50_UPI00035C2063: hypothetical protein	70.7897
UniRef50_UPI00035C2063: hypothetical protein|unclassified	70.7897
UniRef50_A0A031GYM9	70.6045
UniRef50_A0A031GYM9|unclassified	70.6045
UniRef50_UPI0003019D79: hypothetical protein	70.4937
UniRef50_UPI0003019D79: hypothetical protein|unclassified	70.4937
UniRef50_D0IKL6: Methyl-accepting chemotaxis protein	70.4368
UniRef50_D0IKL6: Methyl-accepting chemotaxis protein|unclassified	70.4368
UniRef50_A6M0B9: D-galactose-binding periplasmic protein	70.426
UniRef50_A6M0B9: D-galactose-binding periplasmic protein|unclassified	70.426
UniRef50_UPI00047A4814: histidine kinase	70.3158
UniRef50_UPI00047A4814: histidine kinase|unclassified	70.3158
UniRef50_UPI00026276F1: CheA signal transduction histidine kinase	70.3127
UniRef50_UPI00026276F1: CheA signal transduction histidine kinase|unclassified	70.3127
UniRef50_UPI00016C4289: chemotaxis-specific methylesterase	70.2787
UniRef50_UPI00016C4289: chemotaxis-specific methylesterase|unclassified	70.2787
UniRef50_Q8P9I6	70.1398
UniRef50_Q8P9I6|unclassified	70.1398
UniRef50_M5FGC1	70.1159
UniRef50_M5FGC1|unclassified	70.1159
UniRef50_UPI00024845FB: chemotaxis response regulator	70.0405
UniRef50_UPI00024845FB: chemotaxis response regulator|unclassified	70.0405
UniRef50_UPI00029A38E5: aerotaxis receptor Aer, partial	70.0094
UniRef50_UPI00029A38E5: aerotaxis receptor Aer, partial|unclassified	70.0094
UniRef50_UPI000362EFFA: flagellar motor switch protein FliM	69.9416
UniRef50_UPI000362EFFA: flagellar motor switch protein FliM|unclassified	69.9416
UniRef50_UPI00030F058F: hypothetical protein	69.9288
UniRef50_UPI00030F058F: hypothetical protein|unclassified	69.9288
UniRef50_UPI0003619F1E: hypothetical protein	69.8268
UniRef50_UPI0003619F1E: hypothetical protein|unclassified	69.8268
UniRef50_UPI0003B3BAB8: SAM-dependent methlyltransferase	69.6706
UniRef50_UPI0003B3BAB8: SAM-dependent methlyltransferase|unclassified	69.6706
UniRef50_UPI00047CB60E: chemotaxis protein, partial	69.6479
UniRef50_UPI00047CB60E: chemotaxis protein, partial|unclassified	69.6479
UniRef50_A0A038GBK7: Periplasmic substrate-binding protein	69.471
UniRef50_A0A038GBK7: Periplasmic substrate-binding protein|unclassified	69.471
UniRef50_UPI0003720D0F: hypothetical protein	69.3248
UniRef50_UPI0003720D0F: hypothetical protein|unclassified	69.3248
UniRef50_A0A024IJF0: Methyl-accepting chemotaxis sensory transducer	69.1845
UniRef50_A0A024IJF0: Methyl-accepting chemotaxis sensory transducer|unclassified	69.1845
UniRef50_D9SUL4: D-galactose-binding periplasmic protein	69.1138
UniRef50_D9SUL4: D-galactose-binding periplasmic protein|unclassified	69.1138
UniRef50_UPI0003B79537: ArsR family transcriptional regulator	68.9967
UniRef50_UPI0003B79537: ArsR family transcriptional regulator|unclassified	68.9967
UniRef50_UPI0003A03BEC: hypothetical protein	68.9351
UniRef50_UPI0003A03BEC: hypothetical protein|unclassified	68.9351
UniRef50_W5X4N7	68.8451
UniRef50_W5X4N7|unclassified	68.8451
UniRef50_A6LYN9: D-galactose-binding periplasmic protein	68.7085
UniRef50_A6LYN9: D-galactose-binding periplasmic protein|unclassified	68.7085
UniRef50_UPI0003B4B400: methyl-accepting chemotaxis protein	68.6292
UniRef50_UPI0003B4B400: methyl-accepting chemotaxis protein|unclassified	68.6292
UniRef50_UPI000465C3C9: sensory transducer protein, partial	68.3605
UniRef50_UPI000465C3C9: sensory transducer protein, partial|unclassified	68.3605
UniRef50_UPI0003B619CC: flagellar motor switch protein FliM	68.2362
UniRef50_UPI0003B619CC: flagellar motor switch protein FliM|unclassified	68.2362
UniRef50_UPI00036591E8: hypothetical protein	67.9171
UniRef50_UPI00036591E8: hypothetical protein|unclassified	67.9171
UniRef50_UPI0003B458C5: flagellar motor switch protein FliN	67.814
UniRef50_UPI0003B458C5: flagellar motor switch protein FliN|unclassified	67.814
UniRef50_UPI0002D4D770: hypothetical protein	67.6469
UniRef50_UPI0002D4D770: hypothetical protein|unclassified	67.6469
UniRef50_UPI00034BDD3B: hypothetical protein	67.4917
UniRef50_UPI00034BDD3B: hypothetical protein|unclassified	67.4917
UniRef50_UPI0002EDFB27: hypothetical protein	67.4243
UniRef50_UPI0002EDFB27: hypothetical protein|unclassified	67.4243
UniRef50_UPI00037A38B3: hypothetical protein	67.3889
UniRef50_UPI00037A38B3: hypothetical protein|unclassified	67.3889
UniRef50_F5J8P2: Rhizopine ABC transporter	67.3322
UniRef50_F5J8P2: Rhizopine ABC transporter|unclassified	67.3322
UniRef50_K8DQ40	67.2752
UniRef50_K8DQ40|unclassified	67.2752
UniRef50_UPI00047D515B: chemotaxis protein CheX	67.1122
UniRef50_UPI00047D515B: chemotaxis protein CheX|unclassified	67.1122
UniRef50_UPI000255C5D2: flagellar motor switch protein, partial	66.7806
UniRef50_UPI000255C5D2: flagellar motor switch protein, partial|unclassified	66.7806
UniRef50_UPI00034D0A22: hypothetical protein	66.651
UniRef50_UPI00034D0A22: hypothetical protein|unclassified	66.651
UniRef50_V9H740	66.6248
UniRef50_V9H740|unclassified	66.6248
UniRef50_UPI00036A7A2F: hypothetical protein	66.5649
UniRef50_UPI00036A7A2F: hypothetical protein|unclassified	66.5649
UniRef50_UPI0003688DB4: membrane protein, partial	66.4617
UniRef50_UPI0003688DB4: membrane protein, partial|unclassified	66.4617
UniRef50_A0A024F0W1: Chemotaxis protein CheX	66.3497
UniRef50_A0A024F0W1: Chemotaxis protein CheX|unclassified	66.3497
UniRef50_UPI0004678B73: hypothetical protein	66.3185
UniRef50_UPI0004678B73: hypothetical protein|unclassified	66.3185
UniRef50_UPI000360C3DC: hypothetical protein, partial	66.1466
UniRef50_UPI000360C3DC: hypothetical protein, partial|unclassified	66.1466
UniRef50_UPI0003714AC8: hypothetical protein	66.1168
UniRef50_UPI0003714AC8: hypothetical protein|unclassified	66.1168
UniRef50_UPI000372CFA8: hypothetical protein, partial	66.1077
UniRef50_UPI000372CFA8: hypothetical protein, partial|unclassified	66.1077
UniRef50_UPI0004771446: flagellar motor switch protein FliG	66.0524
UniRef50_UPI0004771446: flagellar motor switch protein FliG|unclassified	66.0524
UniRef50_UPI000378E450: hypothetical protein	66.0424
UniRef50_UPI000378E450: hypothetical protein|unclassified	66.0424
UniRef50_F3FXM3: Periplasmic binding protein/LacI transcriptional regulator (Fragment)	65.9928
UniRef50_F3FXM3: Periplasmic binding protein/LacI transcriptional regulator (Fragment)|unclassified	65.9928
UniRef50_UPI00036DD8CF: hypothetical protein	65.8986
UniRef50_UPI00036DD8CF: hypothetical protein|unclassified	65.8986
UniRef50_O58182	65.8723
UniRef50_O58182|unclassified	65.8723
UniRef50_K0EV74	65.8695
UniRef50_K0EV74|unclassified	65.8695
UniRef50_C5TA73: Methyl-accepting chemotaxis sensory transducer (Fragment)	65.7944
UniRef50_C5TA73: Methyl-accepting chemotaxis sensory transducer (Fragment)|unclassified	65.7944
UniRef50_UPI0003D33D43: methylase of chemotaxis methyl-accepting protein	65.7247
UniRef50_UPI0003D33D43: methylase of chemotaxis methyl-accepting protein|unclassified	65.7247
UniRef50_Q1ASV8: Twin-arginine translocation pathway signal	65.7074
UniRef50_Q1ASV8: Twin-arginine translocation pathway signal|unclassified	65.7074
UniRef50_UPI00035EA0C7: MULTISPECIES: methyl-accepting chemotaxis protein	65.6348
UniRef50_UPI00035EA0C7: MULTISPECIES: methyl-accepting chemotaxis protein|unclassified	65.6348
UniRef50_UPI0003667D3E: hypothetical protein	65.6335
UniRef50_UPI0003667D3E: hypothetical protein|unclassified	65.6335
UniRef50_X0PPJ5: Ribose ABC transporter, periplasmic ribose-binding protein RbsB	65.6095
UniRef50_X0PPJ5: Ribose ABC transporter, periplasmic ribose-binding protein RbsB|unclassified	65.6095
UniRef50_UPI00038028A7: hypothetical protein	65.5853
UniRef50_UPI00038028A7: hypothetical protein|unclassified	65.5853
UniRef50_A9KR72: CheC domain protein	65.5418
UniRef50_A9KR72: CheC domain protein|unclassified	65.5418
UniRef50_F7TTU6: Signal transduction histidine kinase with CheB and CheR activity	65.4374
UniRef50_F7TTU6: Signal transduction histidine kinase with CheB and CheR activity|unclassified	65.4374
UniRef50_UPI0003B392B2: chemotaxis protein	65.4361
UniRef50_UPI0003B392B2: chemotaxis protein|unclassified	65.4361
UniRef50_B0NBQ1	65.3853
UniRef50_B0NBQ1|unclassified	65.3853
UniRef50_UPI0004694FFD: hypothetical protein	65.2989
UniRef50_UPI0004694FFD: hypothetical protein|unclassified	65.2989
UniRef50_D9SPM6: D-galactose-binding periplasmic protein	64.6985
UniRef50_D9SPM6: D-galactose-binding periplasmic protein|unclassified	64.6985
UniRef50_W8UP93: Sugar-binding protein	64.6676
UniRef50_W8UP93: Sugar-binding protein|unclassified	64.6676
UniRef50_UPI0004766036: hypothetical protein, partial	64.6247
UniRef50_UPI0004766036: hypothetical protein, partial|unclassified	64.6247
UniRef50_UPI0002F33BF1: hypothetical protein	64.4263
UniRef50_UPI0002F33BF1: hypothetical protein|unclassified	64.4263
UniRef50_UPI000478DF93: hypothetical protein	64.4207
UniRef50_UPI000478DF93: hypothetical protein|unclassified	64.4207
UniRef50_A0A052J1G1: Periplasmic-binding protein domain protein	64.2233
UniRef50_A0A052J1G1: Periplasmic-binding protein domain protein|unclassified	64.2233
UniRef50_UPI0004674204: hypothetical protein	64.0885
UniRef50_UPI0004674204: hypothetical protein|unclassified	64.0885
UniRef50_UPI000378D3D9: hypothetical protein	63.9669
UniRef50_UPI000378D3D9: hypothetical protein|unclassified	63.9669
UniRef50_UPI000287D294: chemotaxis protein CheW	63.8092
UniRef50_UPI000287D294: chemotaxis protein CheW|unclassified	63.8092
UniRef50_UPI00036C5882: hypothetical protein	63.6248
UniRef50_UPI00036C5882: hypothetical protein|unclassified	63.6248
UniRef50_UPI000317F158: hypothetical protein	63.6145
UniRef50_UPI000317F158: hypothetical protein|unclassified	63.6145
