# Gene Family	SampleAmmonia_assimilation_Abundance-CPM
UniRef50_X1R444: Marine sediment metagenome DNA, contig: S06H3_S25530 (Fragment)|unclassified	380.373
UniRef50_R0GCI0	377.981
UniRef50_R0GCI0|unclassified	377.981
UniRef50_UPI000262C9C2: PII uridylyl-transferase	372.562
UniRef50_UPI000262C9C2: PII uridylyl-transferase|unclassified	372.562
UniRef50_Q7VYQ0: Glutamate-ammonia-ligase adenylyltransferase	366.977
UniRef50_Q7VYQ0: Glutamate-ammonia-ligase adenylyltransferase|unclassified	366.977
UniRef50_UPI0003B6B8B6: glutamine-synthetase adenylyltransferase	364.556
UniRef50_UPI0003B6B8B6: glutamine-synthetase adenylyltransferase|unclassified	364.556
UniRef50_Q5NPH0: Bifunctional uridylyltransferase/uridylyl-removing enzyme	364.179
UniRef50_Q5NPH0: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	364.179
UniRef50_R7I8N1: Glutamate synthase NADH/NADPH small subunit	358.251
UniRef50_R7I8N1: Glutamate synthase NADH/NADPH small subunit|unclassified	358.251
UniRef50_K2F3U9	357.702
UniRef50_K2F3U9|unclassified	357.702
UniRef50_UPI0002375F06: glutamine amidotransferase class-II	353.518
UniRef50_UPI0002375F06: glutamine amidotransferase class-II|unclassified	353.518
UniRef50_UPI0003022C54: hypothetical protein	353.336
UniRef50_UPI0003022C54: hypothetical protein|unclassified	353.336
UniRef50_UPI0004717384: hypothetical protein, partial	352.353
UniRef50_UPI0004717384: hypothetical protein, partial|unclassified	352.353
UniRef50_J9KLQ1	348.381
UniRef50_J9KLQ1|unclassified	348.381
UniRef50_UPI00046CD945: hypothetical protein	346.219
UniRef50_UPI00046CD945: hypothetical protein|unclassified	346.219
UniRef50_UPI000372B112: hypothetical protein, partial	342.528
UniRef50_UPI000372B112: hypothetical protein, partial|unclassified	342.528
UniRef50_D6ZU25	338.556
UniRef50_D6ZU25|unclassified	338.556
UniRef50_UPI000473E90C: hypothetical protein	338.355
UniRef50_UPI000473E90C: hypothetical protein|unclassified	338.355
UniRef50_Q6AFH2: Glutamate-ammonia-ligase adenylyltransferase	337.58
UniRef50_Q6AFH2: Glutamate-ammonia-ligase adenylyltransferase|unclassified	337.58
UniRef50_UPI0003A40A4E: hypothetical protein	336.637
UniRef50_UPI0003A40A4E: hypothetical protein|unclassified	336.637
UniRef50_I9BH27: Ferredoxin-dependent glutamate synthase (Fragment)	335.683
UniRef50_I9BH27: Ferredoxin-dependent glutamate synthase (Fragment)|unclassified	335.683
UniRef50_UPI00047C2C2F: selenate reductase subunit YgfK, partial	335.396
UniRef50_UPI00047C2C2F: selenate reductase subunit YgfK, partial|unclassified	335.396
UniRef50_UPI00046F776E: hypothetical protein	335.366
UniRef50_UPI00046F776E: hypothetical protein|unclassified	335.366
UniRef50_A3VHA8	333.985
UniRef50_A3VHA8|unclassified	333.985
UniRef50_UPI0003667190: hypothetical protein	333.372
UniRef50_UPI0003667190: hypothetical protein|unclassified	333.372
UniRef50_W8Y1E7	328.305
UniRef50_W8Y1E7|unclassified	328.305
UniRef50_UPI00041C94EB: ammonium transporter	328.144
UniRef50_UPI00041C94EB: ammonium transporter|unclassified	328.144
UniRef50_R6GA40	327.09
UniRef50_R6GA40|unclassified	327.09
UniRef50_UPI00047C6FD2: hypothetical protein	325.92
UniRef50_UPI00047C6FD2: hypothetical protein|unclassified	325.92
UniRef50_UPI00036A1520: hypothetical protein	319.631
UniRef50_UPI00036A1520: hypothetical protein|unclassified	319.631
UniRef50_J9BSR4	319.293
UniRef50_J9BSR4|unclassified	319.293
UniRef50_D7AF64: NADPH-Fe(3+) oxidoreductase subunit beta	317.819
UniRef50_D7AF64: NADPH-Fe(3+) oxidoreductase subunit beta|unclassified	317.819
UniRef50_UPI00046D05B1: hypothetical protein	316.414
UniRef50_UPI00046D05B1: hypothetical protein|unclassified	316.414
UniRef50_W4YBI0	316.241
UniRef50_W4YBI0|unclassified	316.241
UniRef50_A0A038G0M9	314.981
UniRef50_A0A038G0M9|unclassified	314.981
UniRef50_UPI00037443B6: hypothetical protein	307.929
UniRef50_UPI00037443B6: hypothetical protein|unclassified	307.929
UniRef50_W4V5E4: Glutamate synthase	307.435
UniRef50_W4V5E4: Glutamate synthase|unclassified	307.435
UniRef50_K2DMV7	302.131
UniRef50_K2DMV7|unclassified	302.131
UniRef50_J8RTR6	299.04
UniRef50_J8RTR6|unclassified	299.04
UniRef50_R5SRE2	298.909
UniRef50_R5SRE2|unclassified	298.909
UniRef50_UPI000381A265: hypothetical protein, partial	298.441
UniRef50_UPI000381A265: hypothetical protein, partial|unclassified	298.441
UniRef50_UPI0003B3530D: Fis family transcriptional regulator	297.932
UniRef50_UPI0003B3530D: Fis family transcriptional regulator|unclassified	297.932
UniRef50_UPI0003824452: hypothetical protein	295.841
UniRef50_UPI0003824452: hypothetical protein|unclassified	295.841
UniRef50_UPI0001CC0B34: PII uridylyl-transferase, partial	294.419
UniRef50_UPI0001CC0B34: PII uridylyl-transferase, partial|unclassified	294.419
UniRef50_UPI00038294C7: hypothetical protein	293.447
UniRef50_UPI00038294C7: hypothetical protein|unclassified	293.447
UniRef50_A0A011QXE4	292.398
UniRef50_A0A011QXE4|unclassified	292.398
UniRef50_UPI00031A6ACC: hypothetical protein	291.972
UniRef50_UPI00031A6ACC: hypothetical protein|unclassified	291.972
UniRef50_UPI0002D5BEC9: hypothetical protein	291.031
UniRef50_UPI0002D5BEC9: hypothetical protein|unclassified	291.031
UniRef50_UPI0003EB3FB1: hypothetical protein	290.557
UniRef50_UPI0003EB3FB1: hypothetical protein|unclassified	290.557
UniRef50_O26293: Putative glutamine amidotransferase MTH_191	290.516
UniRef50_O26293: Putative glutamine amidotransferase MTH_191|unclassified	290.516
UniRef50_K1Z739	289.867
UniRef50_K1Z739|unclassified	289.867
UniRef50_V2J7N5: Putative oxidoreductase Fe-S binding subunit	289.445
UniRef50_V2J7N5: Putative oxidoreductase Fe-S binding subunit|unclassified	289.445
UniRef50_UPI0003B5798A: PII uridylyl-transferase	288.583
UniRef50_UPI0003B5798A: PII uridylyl-transferase|unclassified	288.583
UniRef50_T1B8E9: Glutamate synthase subunit beta (Fragment)	288.09
UniRef50_T1B8E9: Glutamate synthase subunit beta (Fragment)|unclassified	288.09
UniRef50_A0A011MEB8	286.645
UniRef50_A0A011MEB8|unclassified	286.645
UniRef50_UPI00037330E3: hypothetical protein	283.319
UniRef50_UPI00037330E3: hypothetical protein|unclassified	283.319
UniRef50_UPI0001FFEC29: PII uridylyl-transferase, partial	282.201
UniRef50_UPI0001FFEC29: PII uridylyl-transferase, partial|unclassified	282.201
UniRef50_G6YFN2	282.059
UniRef50_G6YFN2|unclassified	282.059
UniRef50_U1M2Q3	279.137
UniRef50_U1M2Q3|unclassified	279.137
UniRef50_C2BE46	276.393
UniRef50_C2BE46|unclassified	276.393
UniRef50_UPI00046CED77: hypothetical protein	276.062
UniRef50_UPI00046CED77: hypothetical protein|unclassified	276.062
UniRef50_Q9JX72: Glutamate-ammonia-ligase adenylyltransferase	275.445
UniRef50_Q9JX72: Glutamate-ammonia-ligase adenylyltransferase|unclassified	275.445
UniRef50_X1CY55: Marine sediment metagenome DNA, contig: S01H4_S18873 (Fragment)	275.444
UniRef50_X1CY55: Marine sediment metagenome DNA, contig: S01H4_S18873 (Fragment)|unclassified	275.444
UniRef50_UPI00031AEE1C: ATPase AAA	273.42
UniRef50_UPI00031AEE1C: ATPase AAA|unclassified	273.42
UniRef50_UPI00029B3561: multi-sensor hybrid histidine kinase	272.791
UniRef50_UPI00029B3561: multi-sensor hybrid histidine kinase|unclassified	272.791
UniRef50_K2FFN7	272.629
UniRef50_K2FFN7|unclassified	272.629
UniRef50_R6XC37: Oxidoreductase NAD-binding domain protein	270.708
UniRef50_R6XC37: Oxidoreductase NAD-binding domain protein|unclassified	270.708
UniRef50_UPI0003754575: hypothetical protein, partial	269.797
UniRef50_UPI0003754575: hypothetical protein, partial|unclassified	269.797
UniRef50_UPI0004634640: hypothetical protein	269.412
UniRef50_UPI0004634640: hypothetical protein|unclassified	269.412
UniRef50_UPI0000510281: (Glutamate--ammonia-ligase) adenylyltransferase, partial	269.278
UniRef50_UPI0000510281: (Glutamate--ammonia-ligase) adenylyltransferase, partial|unclassified	269.278
UniRef50_UPI00035F9E55: hypothetical protein	269.17
UniRef50_UPI00035F9E55: hypothetical protein|unclassified	269.17
UniRef50_UPI000255D4C6: ferredoxin-NADP(+) reductase subunit alpha	267.284
UniRef50_UPI000255D4C6: ferredoxin-NADP(+) reductase subunit alpha|unclassified	267.284
UniRef50_W2V0M8	265.824
UniRef50_W2V0M8|unclassified	265.824
UniRef50_J8V5K2	265.118
UniRef50_J8V5K2|unclassified	265.118
UniRef50_X1H5Y2: Marine sediment metagenome DNA, contig: S03H2_S05338 (Fragment)	262.823
UniRef50_X1H5Y2: Marine sediment metagenome DNA, contig: S03H2_S05338 (Fragment)|unclassified	262.823
UniRef50_B7XGB8: Ammonium transporter (Fragment)	261.738
UniRef50_B7XGB8: Ammonium transporter (Fragment)|unclassified	261.738
UniRef50_UPI00047972CB: hypothetical protein, partial	258.056
UniRef50_UPI00047972CB: hypothetical protein, partial|unclassified	258.056
UniRef50_UPI00047E66F7: glutamate-ammonia-ligase adenylyltransferase	256.677
UniRef50_UPI00047E66F7: glutamate-ammonia-ligase adenylyltransferase|unclassified	256.677
UniRef50_UPI0003C114D5: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like	255.358
UniRef50_UPI0003C114D5: PREDICTED: glutamate synthase 1 [NADH], chloroplastic-like|unclassified	255.358
UniRef50_UPI000470A681: hypothetical protein, partial	253.68
UniRef50_UPI000470A681: hypothetical protein, partial|unclassified	253.68
UniRef50_UPI00036A0940: hypothetical protein	250.54
UniRef50_UPI00036A0940: hypothetical protein|unclassified	250.54
UniRef50_UPI000367B066: hypothetical protein	250.264
UniRef50_UPI000367B066: hypothetical protein|unclassified	250.264
UniRef50_UPI0002EFE985: hypothetical protein	249.952
UniRef50_UPI0002EFE985: hypothetical protein|unclassified	249.952
UniRef50_UPI0003B4561F: hypothetical protein	249.205
UniRef50_UPI0003B4561F: hypothetical protein|unclassified	249.205
UniRef50_UPI0001FFE280: PII uridylyl-transferase, partial	249.168
UniRef50_UPI0001FFE280: PII uridylyl-transferase, partial|unclassified	249.168
UniRef50_A3WWG8	243.337
UniRef50_A3WWG8|unclassified	243.337
UniRef50_UPI00044137DB: ammonium transporter	242.716
UniRef50_UPI00044137DB: ammonium transporter|unclassified	242.716
UniRef50_UPI0003706E6C: hypothetical protein, partial	241.666
UniRef50_UPI0003706E6C: hypothetical protein, partial|unclassified	241.666
UniRef50_UPI00024915FB: ammonia permease	239.809
UniRef50_UPI00024915FB: ammonia permease|unclassified	239.809
UniRef50_K2G1Y7	239.613
UniRef50_K2G1Y7|unclassified	239.613
UniRef50_UPI0003B3611C: selenate reductase	238.821
UniRef50_UPI0003B3611C: selenate reductase|unclassified	238.821
UniRef50_UPI00037CA9FA: hypothetical protein	232.533
UniRef50_UPI00037CA9FA: hypothetical protein|unclassified	232.533
UniRef50_UPI00046F4545: hypothetical protein	232.338
UniRef50_UPI00046F4545: hypothetical protein|unclassified	232.338
UniRef50_UPI00047E9FBE: hypothetical protein	231.195
UniRef50_UPI00047E9FBE: hypothetical protein|unclassified	231.195
UniRef50_UPI00036C9C3C: hypothetical protein	228.722
UniRef50_UPI00036C9C3C: hypothetical protein|unclassified	228.722
UniRef50_UPI0003108EFD: hypothetical protein	228.601
UniRef50_UPI0003108EFD: hypothetical protein|unclassified	228.601
UniRef50_UPI00026310B8: histidine kinase	226.832
UniRef50_UPI00026310B8: histidine kinase|unclassified	226.832
UniRef50_A0A011MWP8: Transcriptional regulatory protein FixJ	226.618
UniRef50_A0A011MWP8: Transcriptional regulatory protein FixJ|unclassified	226.618
UniRef50_UPI00037B5745: hypothetical protein, partial	225.536
UniRef50_UPI00037B5745: hypothetical protein, partial|unclassified	225.536
UniRef50_U0EFE3	225.459
UniRef50_U0EFE3|unclassified	225.459
UniRef50_X1GYM2: Marine sediment metagenome DNA, contig: S03H2_L05787	224.537
UniRef50_X1GYM2: Marine sediment metagenome DNA, contig: S03H2_L05787|unclassified	224.537
UniRef50_UPI0000E0E608: putative glutamate-ammonia-ligase adenylyltransferase	221.771
UniRef50_UPI0000E0E608: putative glutamate-ammonia-ligase adenylyltransferase|unclassified	221.771
UniRef50_UPI000464D915: hypothetical protein, partial	220.775
UniRef50_UPI000464D915: hypothetical protein, partial|unclassified	220.775
UniRef50_W0JLB9	217.171
UniRef50_W0JLB9|unclassified	217.171
UniRef50_UPI000477606C: ammonium permease	216.893
UniRef50_UPI000477606C: ammonium permease|unclassified	216.893
UniRef50_UPI00047DE448: glutamate synthase	216.641
UniRef50_UPI00047DE448: glutamate synthase|unclassified	216.641
UniRef50_A0A059G6Q5: Glutamate synthase	216.148
UniRef50_A0A059G6Q5: Glutamate synthase|unclassified	216.148
UniRef50_UPI00030A0812: hypothetical protein	216.06
UniRef50_UPI00030A0812: hypothetical protein|unclassified	216.06
UniRef50_UPI0004736CD6: hypothetical protein	215.976
UniRef50_UPI0004736CD6: hypothetical protein|unclassified	215.976
UniRef50_W1W469: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)	215.675
UniRef50_W1W469: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)|unclassified	215.675
UniRef50_R7A168	215.559
UniRef50_R7A168|unclassified	215.559
UniRef50_UPI000462F7AB: hypothetical protein, partial	215.286
UniRef50_UPI000462F7AB: hypothetical protein, partial|unclassified	215.286
UniRef50_X0WCY4: Marine sediment metagenome DNA, contig: S01H1_S34104 (Fragment)	214.404
UniRef50_X0WCY4: Marine sediment metagenome DNA, contig: S01H1_S34104 (Fragment)|unclassified	214.404
UniRef50_UPI00046E9678: hypothetical protein	213.541
UniRef50_UPI00046E9678: hypothetical protein|unclassified	213.541
UniRef50_H4SF24	211.548
UniRef50_H4SF24|unclassified	211.548
UniRef50_X1K6E3: Marine sediment metagenome DNA, contig: S06H3_L05143 (Fragment)	209.545
UniRef50_X1K6E3: Marine sediment metagenome DNA, contig: S06H3_L05143 (Fragment)|unclassified	209.545
UniRef50_C0AXW0	208.527
UniRef50_C0AXW0|unclassified	208.527
UniRef50_UPI00047C6AAD: LuxR family transcriptional regulator	206.728
UniRef50_UPI00047C6AAD: LuxR family transcriptional regulator|unclassified	206.728
UniRef50_UPI0003647468: hypothetical protein	206.474
UniRef50_UPI0003647468: hypothetical protein|unclassified	206.474
UniRef50_K2D024	202.98
UniRef50_K2D024|unclassified	202.98
UniRef50_UPI000370EECE: hypothetical protein	202.736
UniRef50_UPI000370EECE: hypothetical protein|unclassified	202.736
UniRef50_R5KMG8	200.448
UniRef50_R5KMG8|unclassified	200.448
UniRef50_UPI0003A96C00: glutamine amidotransferase	199.931
UniRef50_UPI0003A96C00: glutamine amidotransferase|unclassified	199.931
UniRef50_UPI0003C1599E: PREDICTED: two-component response regulator ARR10-like, partial	198.446
UniRef50_UPI0003C1599E: PREDICTED: two-component response regulator ARR10-like, partial|unclassified	198.446
UniRef50_UPI0004772CE6: ammonia permease	196.719
UniRef50_UPI0004772CE6: ammonia permease|unclassified	196.719
UniRef50_UPI0003819D07: hypothetical protein	196.706
UniRef50_UPI0003819D07: hypothetical protein|unclassified	196.706
UniRef50_H4JC50	195.626
UniRef50_H4JC50|unclassified	195.626
UniRef50_UPI000373C5A4: hypothetical protein	194.696
UniRef50_UPI000373C5A4: hypothetical protein|unclassified	194.696
UniRef50_UPI00035DF2D8: hypothetical protein	192.063
UniRef50_UPI00035DF2D8: hypothetical protein|unclassified	192.063
UniRef50_UPI00047B9E09: ammonium permease	191.499
UniRef50_UPI00047B9E09: ammonium permease|unclassified	191.499
UniRef50_W1YR69: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)	190.698
UniRef50_W1YR69: Oxidoreductase, pyridine nucleotide-disulfide family (Fragment)|unclassified	190.698
UniRef50_UPI00036B40FF: chemotaxis protein CheY	190.48
UniRef50_UPI00036B40FF: chemotaxis protein CheY|unclassified	190.48
UniRef50_Q31L55	190.316
UniRef50_Q31L55|unclassified	190.316
UniRef50_UPI0000510488: glutamine synthetase adenylyltransferase, partial	190.04
UniRef50_UPI0000510488: glutamine synthetase adenylyltransferase, partial|unclassified	190.04
UniRef50_UPI000379BD50: hypothetical protein	188.501
UniRef50_UPI000379BD50: hypothetical protein|unclassified	188.501
UniRef50_UPI0003B50B65: glutamate-ammonia ligase adenylyltransferase	184.318
UniRef50_UPI0003B50B65: glutamate-ammonia ligase adenylyltransferase|unclassified	184.318
UniRef50_UPI0002C3E718: glutamate synthase beta subunit, putative, partial	182.93
UniRef50_UPI0002C3E718: glutamate synthase beta subunit, putative, partial|unclassified	182.93
UniRef50_UPI000262D053: glutamine synthetase	180.908
UniRef50_UPI000262D053: glutamine synthetase|unclassified	180.908
UniRef50_UPI000466890B: hypothetical protein	179.942
UniRef50_UPI000466890B: hypothetical protein|unclassified	179.942
UniRef50_C6NYV9: Ammonium transporter	177.444
UniRef50_C6NYV9: Ammonium transporter|unclassified	177.444
UniRef50_R7A919	177.406
UniRef50_R7A919|unclassified	177.406
UniRef50_UPI0004753FA7: hypothetical protein, partial	176.861
UniRef50_UPI0004753FA7: hypothetical protein, partial|unclassified	176.861
UniRef50_W1YT03	176.007
UniRef50_W1YT03|unclassified	176.007
UniRef50_W7WIJ9	174.571
UniRef50_W7WIJ9|unclassified	174.571
UniRef50_X0W8X0: Marine sediment metagenome DNA, contig: S01H1_S21466 (Fragment)	174.223
UniRef50_X0W8X0: Marine sediment metagenome DNA, contig: S01H1_S21466 (Fragment)|unclassified	174.223
UniRef50_X0VM52: Marine sediment metagenome DNA, contig: S01H1_S07433 (Fragment)	171.963
UniRef50_X0VM52: Marine sediment metagenome DNA, contig: S01H1_S07433 (Fragment)|unclassified	171.963
UniRef50_C0EQV7	170.924
UniRef50_C0EQV7|unclassified	170.924
UniRef50_UPI00047D920B: hypothetical protein	170.585
UniRef50_UPI00047D920B: hypothetical protein|unclassified	170.585
UniRef50_X1P6T4: Marine sediment metagenome DNA, contig: S06H3_S25705 (Fragment)	170.282
UniRef50_X1P6T4: Marine sediment metagenome DNA, contig: S06H3_S25705 (Fragment)|unclassified	170.282
UniRef50_Q9X706: Bifunctional uridylyltransferase/uridylyl-removing enzyme	169.457
UniRef50_Q9X706: Bifunctional uridylyltransferase/uridylyl-removing enzyme|unclassified	169.457
UniRef50_B1BJN1: Oxidoreductase, NAD-binding	167.194
UniRef50_B1BJN1: Oxidoreductase, NAD-binding|unclassified	167.194
UniRef50_UPI00047EAFFA: hypothetical protein	165.972
UniRef50_UPI00047EAFFA: hypothetical protein|unclassified	165.972
UniRef50_UPI0004662188: hypothetical protein, partial	164.317
UniRef50_UPI0004662188: hypothetical protein, partial|unclassified	164.317
UniRef50_UPI00047810C0: hypothetical protein, partial	163.718
UniRef50_UPI00047810C0: hypothetical protein, partial|unclassified	163.718
UniRef50_UPI0001FFEF54: glutamate synthase large subunit	162.694
UniRef50_UPI0001FFEF54: glutamate synthase large subunit|unclassified	162.694
UniRef50_A0L3T5	162.328
UniRef50_A0L3T5|unclassified	162.328
UniRef50_W1I894: Ammonium transporter (Fragment)	161.188
UniRef50_W1I894: Ammonium transporter (Fragment)|unclassified	161.188
UniRef50_UPI00036B47DA: hypothetical protein	159.443
UniRef50_UPI00036B47DA: hypothetical protein|unclassified	159.443
UniRef50_UPI00045E83F2: LuxR family transcriptional regulator	158.81
UniRef50_UPI00045E83F2: LuxR family transcriptional regulator|unclassified	158.81
UniRef50_UPI00035D00E5: hypothetical protein	157.675
UniRef50_UPI00035D00E5: hypothetical protein|unclassified	157.675
UniRef50_UPI0003B72BA0: hydrogenase	157.494
UniRef50_UPI0003B72BA0: hydrogenase|unclassified	157.494
UniRef50_A0A011PFB8: Transcriptional regulatory protein TdiR	157.206
UniRef50_A0A011PFB8: Transcriptional regulatory protein TdiR|unclassified	157.206
UniRef50_UPI0002ECE849: hypothetical protein	154.841
UniRef50_UPI0002ECE849: hypothetical protein|unclassified	154.841
UniRef50_C7REX7: Nitrogen regulatory protein P-II (GlnB, GlnK)	153.415
UniRef50_C7REX7: Nitrogen regulatory protein P-II (GlnB, GlnK)|unclassified	153.415
UniRef50_A0A011PG29	151.806
UniRef50_A0A011PG29|unclassified	151.806
UniRef50_S2LYF3: FAD(NAD)-dependent oxidoreductase	151.695
UniRef50_S2LYF3: FAD(NAD)-dependent oxidoreductase|unclassified	151.695
UniRef50_UPI0003B33D0B: glutamine-synthetase adenylyltransferase	151.184
UniRef50_UPI0003B33D0B: glutamine-synthetase adenylyltransferase|unclassified	151.184
UniRef50_UPI0002C3D14A: glutamate synthase beta subunit, putative, partial	148.768
UniRef50_UPI0002C3D14A: glutamate synthase beta subunit, putative, partial|unclassified	148.768
UniRef50_I8RY17: Ferredoxin-dependent glutamate synthase (Fragment)	148.651
UniRef50_I8RY17: Ferredoxin-dependent glutamate synthase (Fragment)|unclassified	148.651
UniRef50_X1KJA3: Marine sediment metagenome DNA, contig: S06H3_C00119 (Fragment)	147.66
UniRef50_X1KJA3: Marine sediment metagenome DNA, contig: S06H3_C00119 (Fragment)|unclassified	147.66
UniRef50_F2MBP9	146.382
UniRef50_F2MBP9|unclassified	146.382
UniRef50_K1UC06: Nitrogen regulatory protein P-II	145.648
UniRef50_K1UC06: Nitrogen regulatory protein P-II|unclassified	145.648
UniRef50_K1UFX5: Glutamate synthase (NADPH), homotetrameric (Fragment)	144.255
UniRef50_K1UFX5: Glutamate synthase (NADPH), homotetrameric (Fragment)|unclassified	144.255
UniRef50_UPI0003B468FE: ammonium transporter	143.313
UniRef50_UPI0003B468FE: ammonium transporter|unclassified	143.313
UniRef50_C6NYI4: Two component, sigma54 specific, transcriptional regulator, Fis family	143.269
UniRef50_C6NYI4: Two component, sigma54 specific, transcriptional regulator, Fis family|unclassified	143.269
UniRef50_UPI0003A7EC66: PII uridylyl-transferase	142.413
UniRef50_UPI0003A7EC66: PII uridylyl-transferase|unclassified	142.413
UniRef50_UPI000373F190: hypothetical protein	142.091
UniRef50_UPI000373F190: hypothetical protein|unclassified	142.091
UniRef50_X1SEX6: Marine sediment metagenome DNA, contig: S12H4_S07362	140.547
UniRef50_X1SEX6: Marine sediment metagenome DNA, contig: S12H4_S07362|unclassified	140.547
UniRef50_UPI00038040B9: hypothetical protein, partial	140.324
UniRef50_UPI00038040B9: hypothetical protein, partial|unclassified	140.324
UniRef50_UPI00034AEDE7: hypothetical protein	137.053
UniRef50_UPI00034AEDE7: hypothetical protein|unclassified	137.053
UniRef50_Q8DMF3: Tll0165 protein	135.592
UniRef50_Q8DMF3: Tll0165 protein|unclassified	135.592
UniRef50_UPI0003B73920: LuxR family transcriptional regulator	134.874
UniRef50_UPI0003B73920: LuxR family transcriptional regulator|unclassified	134.874
UniRef50_UPI00047046AB: Fis family transcriptional regulator	134.259
UniRef50_UPI00047046AB: Fis family transcriptional regulator|unclassified	134.259
UniRef50_UPI0003015561: hypothetical protein	134.082
UniRef50_UPI0003015561: hypothetical protein|unclassified	134.082
UniRef50_C6NXS5: Nitrogen metabolism transcriptional regulator, NtrC, Fis Family	133.14
UniRef50_C6NXS5: Nitrogen metabolism transcriptional regulator, NtrC, Fis Family|unclassified	133.14
UniRef50_UPI0003666867: hypothetical protein	133.095
UniRef50_UPI0003666867: hypothetical protein|unclassified	133.095
UniRef50_Q24RF8	131.903
UniRef50_Q24RF8|unclassified	131.903
UniRef50_K2DHJ9	131.812
UniRef50_K2DHJ9|unclassified	131.812
UniRef50_UPI000463EAD1: Fis family transcriptional regulator	130.901
UniRef50_UPI000463EAD1: Fis family transcriptional regulator|unclassified	130.901
UniRef50_X0WB63: Marine sediment metagenome DNA, contig: S01H1_S16328 (Fragment)	130.658
UniRef50_X0WB63: Marine sediment metagenome DNA, contig: S01H1_S16328 (Fragment)|unclassified	130.658
UniRef50_D3HJH6	130.5
UniRef50_D3HJH6|unclassified	130.5
UniRef50_UPI0003B67344: LuxR family transcriptional regulator	130.427
UniRef50_UPI0003B67344: LuxR family transcriptional regulator|unclassified	130.427
UniRef50_X1IWZ3: Marine sediment metagenome DNA, contig: S03H2_S17717 (Fragment)	129.491
UniRef50_X1IWZ3: Marine sediment metagenome DNA, contig: S03H2_S17717 (Fragment)|unclassified	129.491
UniRef50_UPI000467C9A0: MULTISPECIES: chemotaxis protein CheY	129.309
UniRef50_UPI000467C9A0: MULTISPECIES: chemotaxis protein CheY|unclassified	129.309
UniRef50_UPI000368B79F: hypothetical protein	129.3
UniRef50_UPI000368B79F: hypothetical protein|unclassified	129.3
UniRef50_UPI0003B6741D: UTP:GlnB (protein PII) uridylyltransferase	129.265
UniRef50_UPI0003B6741D: UTP:GlnB (protein PII) uridylyltransferase|unclassified	129.265
UniRef50_UPI00035EE8AE: hypothetical protein	129.059
UniRef50_UPI00035EE8AE: hypothetical protein|unclassified	129.059
UniRef50_A0A011PHM6	129.045
UniRef50_A0A011PHM6|unclassified	129.045
UniRef50_UPI0003B3BC3C: acetoacetate metabolism regulatory protein AtoC	128.973
UniRef50_UPI0003B3BC3C: acetoacetate metabolism regulatory protein AtoC|unclassified	128.973
UniRef50_X1F770: Marine sediment metagenome DNA, contig: S03H2_C01045 (Fragment)	128.421
UniRef50_X1F770: Marine sediment metagenome DNA, contig: S03H2_C01045 (Fragment)|unclassified	128.421
UniRef50_UPI00047E66B1: ammonium transporter	128.334
UniRef50_UPI00047E66B1: ammonium transporter|unclassified	128.334
UniRef50_UPI00037B9E89: hypothetical protein	128.142
UniRef50_UPI00037B9E89: hypothetical protein|unclassified	128.142
UniRef50_S2S1C8: FAD(NAD)-dependent oxidoreductase (Fragment)	128.086
UniRef50_S2S1C8: FAD(NAD)-dependent oxidoreductase (Fragment)|unclassified	128.086
UniRef50_UPI00046CC1E2: hypothetical protein	127.951
UniRef50_UPI00046CC1E2: hypothetical protein|unclassified	127.951
UniRef50_UPI0002F98998: hypothetical protein	127.041
UniRef50_UPI0002F98998: hypothetical protein|unclassified	127.041
UniRef50_UPI000465DD42: nitrogen regulatory protein P-II	126.686
UniRef50_UPI000465DD42: nitrogen regulatory protein P-II|unclassified	126.686
UniRef50_UPI00032A8CFA: PREDICTED: glutamate synthase [NADH], amyloplastic-like isoform X2	126.533
UniRef50_UPI00032A8CFA: PREDICTED: glutamate synthase [NADH], amyloplastic-like isoform X2|unclassified	126.533
UniRef50_UPI00046CFD3D: histidine kinase	126.314
UniRef50_UPI00046CFD3D: histidine kinase|unclassified	126.314
UniRef50_UPI0003660A6D: hypothetical protein	125.5
UniRef50_UPI0003660A6D: hypothetical protein|unclassified	125.5
UniRef50_UPI0003658C06: hypothetical protein	125.411
UniRef50_UPI0003658C06: hypothetical protein|unclassified	125.411
UniRef50_J3LZH1	123.798
UniRef50_J3LZH1|unclassified	123.798
UniRef50_X1I9N6: Marine sediment metagenome DNA, contig: S03H2_S24069 (Fragment)	123.734
UniRef50_X1I9N6: Marine sediment metagenome DNA, contig: S03H2_S24069 (Fragment)|unclassified	123.734
UniRef50_B8LCM3: Predicted protein (Fragment)	123.152
UniRef50_B8LCM3: Predicted protein (Fragment)|unclassified	123.152
UniRef50_R6IJK8: Glutamate synthase NADH/NADPH small subunit	122.969
UniRef50_R6IJK8: Glutamate synthase NADH/NADPH small subunit|unclassified	122.969
UniRef50_UPI0002555F7E: glutamate synthase NADH/NADPH small subunit	122.27
UniRef50_UPI0002555F7E: glutamate synthase NADH/NADPH small subunit|unclassified	122.27
UniRef50_UPI0002E26A3A: hypothetical protein	121.979
